,time,date,stock_code_x,current_hour_pillar,current_day_pillar,current_day_pillar_minus,current_hour_pillar_minus,current_month_pillar,current_year_pillar,current_year_pillar_minus,current_month_pillar_minus,current_wuxi_hour,current_wuxi_day,current_wuxi_month,current_wuxi_year,base_year_pillar,base_month_pillar,base_day_pillar,base_hour_pillar,base_month_pillar_minus,base_hour_pillar_minus,base_year_pillar_minus,base_day_pillar_minus,stock_code_y,uuid,last_modified_date,year,month,day,hour,dayofweek,quarter,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,dayofyear,weekofyear,current_hour_pillar_heavenly,current_hour_pillar_earthly,current_hour_pillar_heavenly_sin,current_hour_pillar_heavenly_cos,current_hour_pillar_earthly_sin,current_hour_pillar_earthly_cos,current_day_pillar_heavenly,current_day_pillar_earthly,current_day_pillar_heavenly_sin,current_day_pillar_heavenly_cos,current_day_pillar_earthly_sin,current_day_pillar_earthly_cos,current_day_pillar_minus_heavenly,current_day_pillar_minus_earthly,current_day_pillar_minus_heavenly_sin,current_day_pillar_minus_heavenly_cos,current_day_pillar_minus_earthly_sin,current_day_pillar_minus_earthly_cos,current_hour_pillar_minus_heavenly,current_hour_pillar_minus_earthly,current_hour_pillar_minus_heavenly_sin,current_hour_pillar_minus_heavenly_cos,current_hour_pillar_minus_earthly_sin,current_hour_pillar_minus_earthly_cos,current_month_pillar_heavenly,current_month_pillar_earthly,current_month_pillar_heavenly_sin,current_month_pillar_heavenly_cos,current_month_pillar_earthly_sin,current_month_pillar_earthly_cos,current_year_pillar_heavenly,current_year_pillar_earthly,current_year_pillar_heavenly_sin,current_year_pillar_heavenly_cos,current_year_pillar_earthly_sin,current_year_pillar_earthly_cos,current_year_pillar_minus_heavenly,current_year_pillar_minus_earthly,current_year_pillar_minus_heavenly_sin,current_year_pillar_minus_heavenly_cos,current_year_pillar_minus_earthly_sin,current_year_pillar_minus_earthly_cos,current_month_pillar_minus_heavenly,current_month_pillar_minus_earthly,current_month_pillar_minus_heavenly_sin,current_month_pillar_minus_heavenly_cos,current_month_pillar_minus_earthly_sin,current_month_pillar_minus_earthly_cos,base_year_pillar_heavenly,base_year_pillar_earthly,base_year_pillar_heavenly_sin,base_year_pillar_heavenly_cos,base_year_pillar_earthly_sin,base_year_pillar_earthly_cos,base_month_pillar_heavenly,base_month_pillar_earthly,base_month_pillar_heavenly_sin,base_month_pillar_heavenly_cos,base_month_pillar_earthly_sin,base_month_pillar_earthly_cos,base_day_pillar_heavenly,base_day_pillar_earthly,base_day_pillar_heavenly_sin,base_day_pillar_heavenly_cos,base_day_pillar_earthly_sin,base_day_pillar_earthly_cos,base_hour_pillar_heavenly,base_hour_pillar_earthly,base_hour_pillar_heavenly_sin,base_hour_pillar_heavenly_cos,base_hour_pillar_earthly_sin,base_hour_pillar_earthly_cos,base_month_pillar_minus_heavenly,base_month_pillar_minus_earthly,base_month_pillar_minus_heavenly_sin,base_month_pillar_minus_heavenly_cos,base_month_pillar_minus_earthly_sin,base_month_pillar_minus_earthly_cos,base_hour_pillar_minus_heavenly,base_hour_pillar_minus_earthly,base_hour_pillar_minus_heavenly_sin,base_hour_pillar_minus_heavenly_cos,base_hour_pillar_minus_earthly_sin,base_hour_pillar_minus_earthly_cos,base_year_pillar_minus_heavenly,base_year_pillar_minus_earthly,base_year_pillar_minus_heavenly_sin,base_year_pillar_minus_heavenly_cos,base_year_pillar_minus_earthly_sin,base_year_pillar_minus_earthly_cos,base_day_pillar_minus_heavenly,base_day_pillar_minus_earthly,base_day_pillar_minus_heavenly_sin,base_day_pillar_minus_heavenly_cos,base_day_pillar_minus_earthly_sin,base_day_pillar_minus_earthly_cos,cs_base_hour_current_hour,cs_base_hour_current_day,cs_base_hour_current_hour_minus,cs_base_hour_current_month,cs_base_hour_current_year,cs_base_hour_current_month_minus,cs_base_day_current_hour,cs_base_day_current_day,cs_base_day_current_hour_minus,cs_base_day_current_month,cs_base_day_current_year,cs_base_day_current_month_minus,cs_base_hour_minus_current_hour,cs_base_hour_minus_current_day,cs_base_hour_minus_current_hour_minus,cs_base_hour_minus_current_month,cs_base_hour_minus_current_year,cs_base_hour_minus_current_month_minus,cs_base_month_current_hour,cs_base_month_current_day,cs_base_month_current_hour_minus,cs_base_month_current_month,cs_base_month_current_year,cs_base_month_current_month_minus,cs_base_year_current_hour,cs_base_year_current_day,cs_base_year_current_hour_minus,cs_base_year_current_month,cs_base_year_current_year,cs_base_year_current_month_minus,cs_base_month_minus_current_hour,cs_base_month_minus_current_day,cs_base_month_minus_current_hour_minus,cs_base_month_minus_current_month,cs_base_month_minus_current_year,cs_base_month_minus_current_month_minus
139,2025-07-11 12:09:38.564435+08:00,2025-07-11 12:09:38.564435+08:00,HSI,甲午,丙申,辛卯,己丑,癸未,庚申,乙丑,戊子,辛酉,丙未,戊未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,896541383545535249,2025-06-18 12:09:56.662464+08:00,2025,7,11,12,4,3,False,False,False,False,False,False,192,28,甲,午,0,1,1.22465e-16,-1,丙,申,0.951057,0.309017,-0.866025,-0.5,辛,卯,-0.951057,-0.309017,1,6.12323e-17,己,丑,1.22465e-16,-1,0.5,0.866025,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,帝旺,病,養,衰,病,胎,絕,死,冠帶,墓庫,死,臨官,病,帝旺,養,衰,帝旺,長生,長生,胎,衰,養,胎,病,臨官,沐浴,墓庫,冠帶,沐浴,絕,沐浴,臨官,墓庫,冠帶,臨官,死
140,2025-07-11 13:09:38.564435+08:00,2025-07-11 13:09:38.564435+08:00,HSI,乙未,丙申,辛卯,庚寅,癸未,庚申,乙丑,戊子,乙未,丙未,戊未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11748287666870553701,2025-06-18 12:09:56.662464+08:00,2025,7,11,13,4,3,False,False,False,False,False,False,192,28,乙,未,0.587785,0.809017,-0.5,-0.866025,丙,申,0.951057,0.309017,-0.866025,-0.5,辛,卯,-0.951057,-0.309017,1,6.12323e-17,庚,寅,-0.587785,-0.809017,0.866025,0.5,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,衰,病,長生,衰,病,胎,墓庫,死,沐浴,墓庫,死,臨官,衰,帝旺,胎,衰,帝旺,長生,養,胎,帝旺,養,胎,病,冠帶,沐浴,死,冠帶,沐浴,絕,冠帶,臨官,絕,冠帶,臨官,死
141,2025-07-11 14:09:38.564435+08:00,2025-07-11 14:09:38.564435+08:00,HSI,乙未,丙申,辛卯,庚寅,癸未,庚申,乙丑,戊子,壬戌,丙未,戊未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,220136659867918632,2025-06-18 12:09:56.662464+08:00,2025,7,11,14,4,3,False,False,False,False,False,False,192,28,乙,未,0.587785,0.809017,-0.5,-0.866025,丙,申,0.951057,0.309017,-0.866025,-0.5,辛,卯,-0.951057,-0.309017,1,6.12323e-17,庚,寅,-0.587785,-0.809017,0.866025,0.5,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,衰,病,長生,衰,病,胎,墓庫,死,沐浴,墓庫,死,臨官,衰,帝旺,胎,衰,帝旺,長生,養,胎,帝旺,養,胎,病,冠帶,沐浴,死,冠帶,沐浴,絕,冠帶,臨官,絕,冠帶,臨官,死
142,2025-07-11 15:09:38.564435+08:00,2025-07-11 15:09:38.564435+08:00,HSI,丙申,丙申,辛卯,辛卯,癸未,庚申,乙丑,戊子,丙申,丙申,戊未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6262186114129474978,2025-06-18 12:09:56.662464+08:00,2025,7,11,15,4,3,False,False,False,False,False,False,192,28,丙,申,0.951057,0.309017,-0.866025,-0.5,丙,申,0.951057,0.309017,-0.866025,-0.5,辛,卯,-0.951057,-0.309017,1,6.12323e-17,辛,卯,-0.951057,-0.309017,1,6.12323e-17,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,病,病,沐浴,衰,病,胎,死,死,長生,墓庫,死,臨官,帝旺,帝旺,絕,衰,帝旺,長生,胎,胎,臨官,養,胎,病,沐浴,沐浴,病,冠帶,沐浴,絕,臨官,臨官,胎,冠帶,臨官,死
143,2025-07-11 16:09:38.564435+08:00,2025-07-11 16:09:38.564435+08:00,HSI,丙申,丙申,辛卯,辛卯,癸未,庚申,乙丑,戊子,癸亥,丙申,戊未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11892347588938468437,2025-06-18 12:09:56.662464+08:00,2025,7,11,16,4,3,False,False,False,False,False,False,192,28,丙,申,0.951057,0.309017,-0.866025,-0.5,丙,申,0.951057,0.309017,-0.866025,-0.5,辛,卯,-0.951057,-0.309017,1,6.12323e-17,辛,卯,-0.951057,-0.309017,1,6.12323e-17,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,病,病,沐浴,衰,病,胎,死,死,長生,墓庫,死,臨官,帝旺,帝旺,絕,衰,帝旺,長生,胎,胎,臨官,養,胎,病,沐浴,沐浴,病,冠帶,沐浴,絕,臨官,臨官,胎,冠帶,臨官,死
144,2025-07-14 09:09:38.564435+08:00,2025-07-14 09:09:38.564435+08:00,HSI,己巳,甲申,己卯,甲子,癸未,庚申,乙丑,戊子,己巳,甲酉,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,7832093037778459859,2025-06-18 12:09:56.662464+08:00,2025,7,14,9,0,3,False,False,False,False,False,False,195,29,己,巳,1.22465e-16,-1,0.5,-0.866025,甲,申,0,1,-0.866025,-0.5,己,卯,1.22465e-16,-1,1,6.12323e-17,甲,子,0,1,0,1,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,臨官,病,胎,衰,病,胎,胎,死,臨官,墓庫,死,臨官,死,帝旺,長生,衰,帝旺,長生,沐浴,胎,病,養,胎,病,帝旺,沐浴,絕,冠帶,沐浴,絕,長生,臨官,死,冠帶,臨官,死
145,2025-07-14 10:09:38.564435+08:00,2025-07-14 10:09:38.564435+08:00,HSI,己巳,甲申,己卯,甲子,癸未,庚申,乙丑,戊子,丙申,甲酉,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,17963235935531717932,2025-06-18 12:09:56.662464+08:00,2025,7,14,10,0,3,False,False,False,False,False,False,195,29,己,巳,1.22465e-16,-1,0.5,-0.866025,甲,申,0,1,-0.866025,-0.5,己,卯,1.22465e-16,-1,1,6.12323e-17,甲,子,0,1,0,1,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,臨官,病,胎,衰,病,胎,胎,死,臨官,墓庫,死,臨官,死,帝旺,長生,衰,帝旺,長生,沐浴,胎,病,養,胎,病,帝旺,沐浴,絕,冠帶,沐浴,絕,長生,臨官,死,冠帶,臨官,死
146,2025-07-14 11:09:38.564435+08:00,2025-07-14 11:09:38.564435+08:00,HSI,庚午,己亥,甲午,乙丑,癸未,庚申,乙丑,戊子,庚午,甲戌,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,5415947747272143702,2025-06-18 12:09:56.662464+08:00,2025,7,14,11,0,3,False,False,False,False,False,False,195,29,庚,午,-0.587785,-0.809017,1.22465e-16,-1,己,亥,1.22465e-16,-1,-0.5,0.866025,甲,午,0,1,1.22465e-16,-1,乙,丑,0.587785,0.809017,0.5,0.866025,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,帝旺,絕,養,衰,病,胎,絕,帝旺,冠帶,墓庫,死,臨官,病,沐浴,養,衰,帝旺,長生,長生,死,衰,養,胎,病,臨官,胎,墓庫,冠帶,沐浴,絕,沐浴,病,墓庫,冠帶,臨官,死
147,2025-07-14 12:09:38.564435+08:00,2025-07-14 12:09:38.564435+08:00,HSI,庚午,己亥,甲午,乙丑,癸未,庚申,乙丑,戊子,丁酉,己戌,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,11865112728992888539,2025-06-18 12:09:56.662464+08:00,2025,7,14,12,0,3,False,False,False,False,False,False,195,29,庚,午,-0.587785,-0.809017,1.22465e-16,-1,己,亥,1.22465e-16,-1,-0.5,0.866025,甲,午,0,1,1.22465e-16,-1,乙,丑,0.587785,0.809017,0.5,0.866025,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,帝旺,絕,養,衰,病,胎,絕,帝旺,冠帶,墓庫,死,臨官,病,沐浴,養,衰,帝旺,長生,長生,死,衰,養,胎,病,臨官,胎,墓庫,冠帶,沐浴,絕,沐浴,病,墓庫,冠帶,臨官,死
148,2025-07-14 13:09:38.564435+08:00,2025-07-14 13:09:38.564435+08:00,HSI,辛未,己亥,甲午,丙寅,癸未,庚申,乙丑,戊子,辛未,己戌,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6832627880461251628,2025-06-18 12:09:56.662464+08:00,2025,7,14,13,0,3,False,False,False,False,False,False,195,29,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,亥,1.22465e-16,-1,-0.5,0.866025,甲,午,0,1,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,衰,絕,長生,衰,病,胎,墓庫,帝旺,沐浴,墓庫,死,臨官,衰,沐浴,胎,衰,帝旺,長生,養,死,帝旺,養,胎,病,冠帶,胎,死,冠帶,沐浴,絕,冠帶,病,絕,冠帶,臨官,死
149,2025-07-14 14:09:38.564435+08:00,2025-07-14 14:09:38.564435+08:00,HSI,辛未,己亥,甲午,丙寅,癸未,庚申,乙丑,戊子,戊戌,己戌,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,7935135048086424834,2025-06-18 12:09:56.662464+08:00,2025,7,14,14,0,3,False,False,False,False,False,False,195,29,辛,未,-0.951057,-0.309017,-0.5,-0.866025,己,亥,1.22465e-16,-1,-0.5,0.866025,甲,午,0,1,1.22465e-16,-1,丙,寅,0.951057,0.309017,0.866025,0.5,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,衰,絕,長生,衰,病,胎,墓庫,帝旺,沐浴,墓庫,死,臨官,衰,沐浴,胎,衰,帝旺,長生,養,死,帝旺,養,胎,病,冠帶,胎,死,冠帶,沐浴,絕,冠帶,病,絕,冠帶,臨官,死
150,2025-07-14 15:09:38.564435+08:00,2025-07-14 15:09:38.564435+08:00,HSI,壬申,己亥,甲午,丁卯,癸未,庚申,乙丑,戊子,壬申,己亥,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,9620375824526420862,2025-06-18 12:09:56.662464+08:00,2025,7,14,15,0,3,False,False,False,False,False,False,195,29,壬,申,-0.951057,0.309017,-0.866025,-0.5,己,亥,1.22465e-16,-1,-0.5,0.866025,甲,午,0,1,1.22465e-16,-1,丁,卯,0.951057,-0.309017,1,6.12323e-17,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,病,絕,沐浴,衰,病,胎,死,帝旺,長生,墓庫,死,臨官,帝旺,沐浴,絕,衰,帝旺,長生,胎,死,臨官,養,胎,病,沐浴,胎,病,冠帶,沐浴,絕,臨官,病,胎,冠帶,臨官,死
151,2025-07-14 16:09:38.564435+08:00,2025-07-14 16:09:38.564435+08:00,HSI,壬申,己亥,甲午,丁卯,癸未,庚申,乙丑,戊子,己亥,己亥,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,6841244281848054027,2025-06-18 12:09:56.662464+08:00,2025,7,14,16,0,3,False,False,False,False,False,False,195,29,壬,申,-0.951057,0.309017,-0.866025,-0.5,己,亥,1.22465e-16,-1,-0.5,0.866025,甲,午,0,1,1.22465e-16,-1,丁,卯,0.951057,-0.309017,1,6.12323e-17,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,病,絕,沐浴,衰,病,胎,死,帝旺,長生,墓庫,死,臨官,帝旺,沐浴,絕,衰,帝旺,長生,胎,死,臨官,養,胎,病,沐浴,胎,病,冠帶,沐浴,絕,臨官,病,胎,冠帶,臨官,死
152,2025-07-15 09:09:38.564435+08:00,2025-07-15 09:09:38.564435+08:00,HSI,辛巳,乙酉,庚辰,丙子,癸未,庚申,乙丑,戊子,辛巳,乙戌,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,4127235488408451356,2025-06-18 12:09:56.662464+08:00,2025,7,15,9,1,3,False,False,False,False,False,False,196,29,辛,巳,-0.951057,-0.309017,0.5,-0.866025,乙,酉,0.587785,0.809017,-1,-1.83697e-16,庚,辰,-0.587785,-0.809017,0.866025,-0.5,丙,子,0.951057,0.309017,0,1,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,臨官,死,胎,衰,病,胎,胎,病,臨官,墓庫,死,臨官,死,臨官,長生,衰,帝旺,長生,沐浴,絕,病,養,胎,病,帝旺,長生,絕,冠帶,沐浴,絕,長生,帝旺,死,冠帶,臨官,死
153,2025-07-15 10:09:38.564435+08:00,2025-07-15 10:09:38.564435+08:00,HSI,辛巳,乙酉,庚辰,丙子,癸未,庚申,乙丑,戊子,戊申,乙戌,己未,乙未,己酉,乙亥,癸卯,丙辰,庚午,辛酉,甲辰,戊申,HSI,10863602582421700240,2025-06-18 12:09:56.662464+08:00,2025,7,15,10,1,3,False,False,False,False,False,False,196,29,辛,巳,-0.951057,-0.309017,0.5,-0.866025,乙,酉,0.587785,0.809017,-1,-1.83697e-16,庚,辰,-0.587785,-0.809017,0.866025,-0.5,丙,子,0.951057,0.309017,0,1,癸,未,-0.587785,0.809017,-0.5,-0.866025,庚,申,-0.587785,-0.809017,-0.866025,-0.5,乙,丑,0.587785,0.809017,0.5,0.866025,戊,子,0.587785,-0.809017,0,1,己,酉,1.22465e-16,-1,-1,-1.83697e-16,乙,亥,0.587785,0.809017,-0.5,0.866025,癸,卯,-0.587785,0.809017,1,6.12323e-17,丙,辰,0.951057,0.309017,0.866025,-0.5,庚,午,-0.587785,-0.809017,1.22465e-16,-1,辛,酉,-0.951057,-0.309017,-1,-1.83697e-16,甲,辰,0,1,0.866025,-0.5,戊,申,0.587785,-0.809017,-0.866025,-0.5,臨官,死,胎,衰,病,胎,胎,病,臨官,墓庫,死,臨官,死,臨官,長生,衰,帝旺,長生,沐浴,絕,病,養,胎,病,帝旺,長生,絕,冠帶,沐浴,絕,長生,帝旺,死,冠帶,臨官,死
